"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"374493",10,1655,2,23,3.14159265358979,2.10976159646832,5
"374494",10,1660,1,1,-2.51065036022492,3.14159265358979,5
"374495",10,1660,1,2,-2.51327412287183,3.12322888195642,5
"374496",10,1660,1,3,-2.51926587439307,3.078760800518,5
"374497",10,1660,1,4,-2.52896343715707,3.0159289474462,5
"374498",10,1660,1,5,-2.53976524420083,2.95309709437441,5
"374499",10,1660,1,6,-2.55165615239764,2.89026524130261,5
"374500",10,1660,1,7,-2.56463486891658,2.82743338823081,5
"374501",10,1660,1,8,-2.57870669096577,2.76460153515902,5
"374502",10,1660,1,9,-2.59387757915794,2.70176968208722,5
"374503",10,1660,1,10,-2.61014914522565,2.63893782901543,5
"374504",10,1660,1,11,-2.6275143226935,2.57610597594363,5
"374505",10,1660,1,12,-2.63893782901543,2.53719750105679,5
"374506",10,1660,1,13,-2.64799925595045,2.51327412287183,5
"374507",10,1660,1,14,-2.67357269107324,2.45044226980004,5
"374508",10,1660,1,15,-2.70118728518797,2.38761041672824,5
"374509",10,1660,1,16,-2.73099215238551,2.32477856365645,5
"374510",10,1660,1,17,-2.76316949358013,2.26194671058465,5
"374511",10,1660,1,18,-2.76460153515902,2.25928521136627,5
"374512",10,1660,1,19,-2.82591424661621,2.19911485751286,5
"374513",10,1660,1,20,-2.89026524130261,2.14360274752597,5
"374514",10,1660,1,21,-2.93309058512936,2.13628300444106,5
"374515",10,1660,1,22,-3.0159289474462,2.12358279428859,5
"374516",10,1660,1,23,-3.06385851779053,2.13628300444106,5
"374517",10,1660,1,24,-3.14159265358979,2.1558226743182,5
"374518",10,1660,2,1,2.51065036022493,3.14159265358979,5
"374519",10,1660,2,2,2.50313537883171,3.078760800518,5
"374520",10,1660,2,3,2.49699475138896,3.0159289474462,5
"374521",10,1660,2,4,2.49243300901245,2.95309709437441,5
"374522",10,1660,2,5,2.48975452608381,2.89026524130261,5
"374523",10,1660,2,6,2.48941410566784,2.82743338823081,5
"374524",10,1660,2,7,2.49209927297694,2.76460153515902,5
"374525",10,1660,2,8,2.49887101032736,2.70176968208722,5
"374526",10,1660,2,9,2.51141859268005,2.63893782901543,5
"374527",10,1660,2,10,2.51327412287183,2.63264109928169,5
"374528",10,1660,2,11,2.53176326137657,2.57610597594363,5
"374529",10,1660,2,12,2.56436011862635,2.51327412287183,5
"374530",10,1660,2,13,2.61705871193651,2.45044226980004,5
"374531",10,1660,2,14,2.63893782901543,2.43196690155704,5
"374532",10,1660,2,15,2.69672747485789,2.38761041672824,5
"374533",10,1660,2,16,2.76460153515902,2.34823846868569,5
"374534",10,1660,2,17,2.80401915568524,2.32477856365645,5
"374535",10,1660,2,18,2.89026524130261,2.27944667819857,5
"374536",10,1660,2,19,2.92267567303701,2.26194671058465,5
"374537",10,1660,2,20,3.0159289474462,2.21324900023385,5
"374538",10,1660,2,21,3.04726823908048,2.19911485751286,5
"374539",10,1660,2,22,3.14159265358979,2.15582267431822,5
"374540",10,1665,1,1,-2.53891905678821,3.14159265358979,5
"374541",10,1665,1,2,-2.54649499264167,3.078760800518,5
"374542",10,1665,1,3,-2.55540054574577,3.0159289474462,5
"374543",10,1665,1,4,-2.56556681729135,2.95309709437441,5
"374544",10,1665,1,5,-2.57695399633649,2.89026524130261,5
"374545",10,1665,1,6,-2.58954076164347,2.82743338823081,5
"374546",10,1665,1,7,-2.60331601139592,2.76460153515902,5
"374547",10,1665,1,8,-2.61827220587856,2.70176968208722,5
"374548",10,1665,1,9,-2.63439984749883,2.63893782901543,5
"374549",10,1665,1,10,-2.63893782901543,2.62248138928832,5
"374550",10,1665,1,11,-2.65522884724141,2.57610597594363,5
"374551",10,1665,1,12,-2.67917874514747,2.51327412287183,5
"374552",10,1665,1,13,-2.70515929975803,2.45044226980004,5
"374553",10,1665,1,14,-2.73330730511349,2.38761041672824,5
"374554",10,1665,1,15,-2.76378396368662,2.32477856365645,5
"374555",10,1665,1,16,-2.76460153515902,2.32318386708011,5
"374556",10,1665,1,17,-2.82225747311296,2.26194671058465,5
"374557",10,1665,1,18,-2.88958959546233,2.19911485751286,5
"374558",10,1665,1,19,-2.89026524130261,2.19853201452215,5
"374559",10,1665,1,20,-3.0159289474462,2.17355346358216,5
"374560",10,1665,1,21,-3.12568864786648,2.19911485751286,5
"374561",10,1665,1,22,-3.14159265358979,2.20268132576681,5
"374562",10,1665,2,1,2.53891905678822,3.14159265358979,5
"374563",10,1665,2,2,2.5327846947911,3.078760800518,5
"374564",10,1665,2,3,2.5282658262165,3.0159289474462,5
"374565",10,1665,2,4,2.52562462393823,2.95309709437441,5
"374566",10,1665,2,5,2.5252492377884,2.89026524130261,5
"374567",10,1665,2,6,2.52771001951638,2.82743338823081,5
"374568",10,1665,2,7,2.53384728050808,2.76460153515902,5
"374569",10,1665,2,8,2.54491594816773,2.70176968208722,5
"374570",10,1665,2,9,2.56283944251976,2.63893782901543,5
"374571",10,1665,2,10,2.59068829390436,2.57610597594363,5
"374572",10,1665,2,11,2.63366142340263,2.51327412287183,5
"374573",10,1665,2,12,2.63893782901543,2.50741498584994,5
"374574",10,1665,2,13,2.6980028364392,2.45044226980004,5
"374575",10,1665,2,14,2.76460153515902,2.40287175014283,5
"374576",10,1665,2,15,2.78736358839064,2.38761041672824,5
"374577",10,1665,2,16,2.89026524130261,2.32705028841414,5
"374578",10,1665,2,17,2.89430270124772,2.32477856365645,5
"374579",10,1665,2,18,3.01062586217404,2.26194671058465,5
"374580",10,1665,2,19,3.0159289474462,2.25917739109227,5
"374581",10,1665,2,20,3.14159265358979,2.20268132576685,5
"374582",10,1670,1,1,-2.56712735670938,3.14159265358979,5
"374583",10,1670,1,2,-2.57372411089027,3.078760800518,5
