"","iElectron","t","ix","iy","iz"
"613",138,1.411173e-11,40,240,61
"614",131,1.414837e-11,104,21,46
"615",138,1.420662e-11,41,240,63
"616",131,1.421649e-11,104,22,45
"617",138,1.422463e-11,39,240,66
"618",139,1.432343e-11,117,33,39
"619",136,1.433042e-11,100,91,26
"620",139,1.433603e-11,117,37,40
"621",138,1.436176e-11,39,238,67
"622",138,1.439632e-11,40,239,66
"623",143,1.447321e-11,108,10,10
"624",138,1.459263e-11,40,238,65
"625",138,1.471419e-11,39,240,67
"626",143,1.475115e-11,110,13,11
"627",142,1.479804e-11,168,190,24
"628",129,1.492453e-11,100,147,91
"629",129,1.493406e-11,101,147,91
"630",129,1.494808e-11,100,147,91
"631",129,1.49676e-11,101,146,91
"632",138,1.497587e-11,39,240,71
"633",137,1.499486e-11,187,58,6
"634",132,1.502498e-11,132,131,5
"635",130,1.502808e-11,238,114,16
"636",136,1.513403e-11,100,91,29
"637",138,1.518144e-11,40,240,71
"638",138,1.520815e-11,41,241,71
"639",139,1.520841e-11,120,35,43
"640",136,1.522232e-11,99,91,28
"641",142,1.524193e-11,169,190,24
"642",133,1.532791e-11,218,59,44
"643",142,1.536154e-11,169,189,24
"644",139,1.540489e-11,121,35,42
"645",136,1.554214e-11,102,92,31
"646",143,1.559005e-11,111,12,11
"647",129,1.559659e-11,99,147,91
"648",136,1.566171e-11,104,93,31
"649",132,1.566318e-11,131,130,4
"650",138,1.567734e-11,40,243,73
"651",136,1.576844e-11,105,92,33
"652",136,1.582548e-11,106,92,34
"653",132,1.593023e-11,131,131,5
"654",136,1.593668e-11,107,93,35
"655",142,1.595118e-11,169,190,24
"656",138,1.619145e-11,39,244,72
"657",133,1.619243e-11,221,58,44
"658",138,1.625046e-11,37,245,71
"659",138,1.627593e-11,37,244,73
"660",138,1.631517e-11,37,246,73
"661",132,1.632743e-11,132,130,5
"662",143,1.634499e-11,112,10,12
"663",139,1.660382e-11,123,34,42
"664",132,1.663024e-11,130,129,4
"665",136,1.663507e-11,106,94,38
"666",132,1.663919e-11,131,129,5
"667",138,1.66679e-11,38,246,74
"668",138,1.669823e-11,38,244,74
"669",136,1.670147e-11,107,94,38
"670",138,1.685575e-11,38,244,75
"671",142,1.693093e-11,169,189,24
"672",131,1.701489e-11,104,23,45
"673",133,1.706483e-11,224,58,46
"674",133,1.72303e-11,224,57,47
"675",136,1.728294e-11,108,95,38
"676",139,1.738507e-11,122,31,42
"677",130,1.750766e-11,237,113,19
"678",137,1.762977e-11,186,60,9
"679",142,1.764249e-11,169,190,27
"680",143,1.780206e-11,108,12,14
"681",130,1.784346e-11,235,112,22
"682",130,1.813134e-11,235,109,24
"683",130,1.813336e-11,234,109,24
"684",138,1.820665e-11,36,243,75
"685",130,1.829897e-11,233,108,24
"686",130,1.834113e-11,233,109,27
"687",130,1.861207e-11,232,111,29
"688",130,1.86305e-11,233,112,28
"689",141,1.892522e-11,58,84,23
"690",130,1.900461e-11,232,112,28
"691",141,1.903261e-11,62,85,23
"692",132,1.914334e-11,131,131,5
"693",130,1.917774e-11,231,109,29
"694",131,1.925855e-11,102,24,48
"695",132,1.925958e-11,133,130,5
"696",133,1.929695e-11,223,56,49
"697",130,1.934777e-11,230,106,28
"698",132,1.960761e-11,132,131,5
"699",143,1.990414e-11,108,8,17
