C11,C12,C13,C22,C23,C33
0.823067085,0.282276841,3.84E-13,0.818989439,3.82E-13,0.315906954
0.831694778,0.283587743,3.85E-13,0.831694778,3.80E-13,0.317895961
0.840236916,0.284576832,3.86E-13,0.836209516,3.88E-13,0.319835326
0.848716641,0.285906553,3.82E-13,0.848716641,3.83E-13,0.321803664
0.857101109,0.286901143,3.87E-13,0.853132747,3.86E-13,0.323720186
0.865415998,0.288247188,3.89E-13,0.865415998,3.95E-13,0.325664824
0.873626077,0.289245396,3.88E-13,0.869725361,3.91E-13,0.327555369
0.881759621,0.290604649,3.91E-13,0.881759621,3.88E-13,0.32947307
0.889778994,0.291604218,3.95E-13,0.885954325,3.89E-13,0.331334306
0.897715082,0.29297298,3.89E-13,0.897715082,3.92E-13,0.333221632
0.905527869,0.2939713,3.99E-13,0.901787425,3.93E-13,0.335050038
0.913250823,0.295345325,3.92E-13,0.913250823,3.85E-13,0.336903362
0.920841616,0.296339466,3.96E-13,0.917193341,3.94E-13,0.338695239
0.928336217,0.297714011,3.93E-13,0.928336217,3.97E-13,0.340510758
0.935690109,0.298700759,3.96E-13,0.932141705,3.98E-13,0.342262245
0.942941627,0.300070632,4.01E-13,0.942941627,3.94E-13,0.344035995
0.950044237,0.301046521,3.96E-13,0.946603157,3.98E-13,0.345743086
0.957038451,0.302406144,3.98E-13,0.957038451,4.01E-13,0.347470963
0.963875945,0.303367497,4.05E-13,0.960549389,4.00E-13,0.349129528
0.970599164,0.304710959,4.05E-13,0.970599164,4.02E-13,0.350807308
0.977158275,0.305653933,4.03E-13,0.973953192,4.01E-13,0.352413117
0.983597358,0.306975057,4.02E-13,0.983597358,4.06E-13,0.354036481
0.989865401,0.307895681,4.02E-13,0.98678849,4.04E-13,0.355585227
0.996007772,0.30918809,4.09E-13,0.996007772,4.06E-13,0.357149788
1.001972663,0.310082312,4.07E-13,0.999030377,4.08E-13,0.358637121
1.007806331,0.311339491,4.04E-13,1.007806331,4.07E-13,0.360138453
1.013456599,0.312203225,4.10E-13,1.010655152,4.08E-13,0.361560006
1.018970171,0.313418593,4.09E-13,1.018970171,4.06E-13,0.362993677
1.024294972,0.31424776,4.09E-13,1.021640347,4.09E-13,0.364345105
1.029477671,0.315414734,4.08E-13,1.029477671,4.07E-13,0.365706709
1.034466799,0.316205311,4.12E-13,1.031964763,4.06E-13,0.366983718
1.039308479,0.317317375,4.07E-13,1.039308479,4.10E-13,0.368268914
1.043952379,0.318065437,4.10E-13,1.041608493,4.08E-13,0.369467305
1.04844354,0.319116203,4.10E-13,1.04844354,4.15E-13,0.37067185
1.05273332,0.319817968,4.12E-13,1.050552962,4.10E-13,0.37178755
1.056865121,0.320801239,4.08E-13,1.056865121,4.12E-13,0.372907341
1.06079256,0.321453114,4.11E-13,1.058780948,4.21E-13,0.373936447
1.064556836,0.322362939,4.11E-13,1.064556836,4.12E-13,0.374967554
1.071503663,0.323792284,4.13E-13,1.071503663,4.12E-13,0.376845078
1.074684479,0.32433455,4.17E-13,1.073025554,4.17E-13,0.377690161
1.077691962,0.325080869,4.15E-13,1.077691962,4.12E-13,0.378532998
1.083109479,0.326220967,4.16E-13,1.083109479,4.17E-13,0.380024969
1.085518996,0.32664252,4.13E-13,1.084232835,4.06E-13,0.380673432
1.08976165,0.327563531,4.14E-13,1.088669722,4.17E-13,0.381861563
1.094635245,0.328683984,4.16E-13,1.094635245,4.15E-13,0.383271817
1.098901099,0.32967033,4.13E-13,1.098901099,4.14E-13,0.384615385
1.10E-09,3.30E-10,4.12E-22,1.10E-09,4.17E-22,3.85E-10
0.01129751,0.001295288,-0.001258051,0.01129751,-0.001258051,0.001262028
0.023900672,0.003918696,-0.003781378,0.023900672,-0.003781378,0.003811314
0.036555056,0.006610757,-0.006312308,0.036555056,-0.006312308,0.006399972
0.049263402,0.009369895,-0.008849546,0.049263402,-0.008849546,0.00903601
0.062028694,0.012195062,-0.011391641,0.062028694,-0.011391641,0.011727524
0.074854028,0.015085403,-0.013936841,0.074854028,-0.013936841,0.014482967
0.087742661,0.018040167,-0.016483056,0.087742661,-0.016483056,0.017311227
0.100698044,0.021058691,-0.019027821,0.100698044,-0.019027821,0.020221632
0.113723861,0.024140412,-0.021568261,0.113723861,-0.021568261,0.023223963
0.12682407,0.027284876,-0.024101055,0.12682407,-0.024101055,0.026328436
0.140002932,0.030491769,-0.026622399,0.140002932,-0.026622399,0.029545699
0.153265063,0.033760939,-0.029127967,0.153265063,-0.029127967,0.032886799
