Geometry,C11,C12,C22,C16,C26,C66,
000111101100101,0.12410756,0.16411858,0.12410756,0.00000000,0.00000000,0.20720613,
000111101100110,0.09536771,0.10996531,0.09536771,0.00000000,0.00000000,0.04707244,
000111101100111,0.09335662,0.10608114,0.09335662,0.00000000,0.00000000,0.04377016,
000111101101000,0.11186671,0.13973783,0.11186671,0.00000000,0.00000000,0.15671287,
000111101101001,0.10450417,0.12493704,0.10450417,0.00000000,0.00000000,0.09071582,
000111101101010,0.07316846,0.09462608,0.07316846,0.00000000,0.00000000,0.10693505,
000111101101011,0.03104822,0.03963391,0.03104822,0.00000000,0.00000000,0.00260612,
000111101101100,0.09052452,0.12489779,0.09052452,0.00000000,0.00000000,0.13025389,
000111101101101,0.08003620,0.10550387,0.08003620,0.00000000,0.00000000,0.03620816,
000111101101110,0.03026860,0.04118870,0.03026860,0.00000000,0.00000000,0.00584042,
000111101101111,0.02714093,0.03859232,0.02714093,0.00000000,0.00000000,0.00252041,
000111101110000,0.09561961,0.18750030,0.09561961,0.00000000,0.00000000,0.21854861,
000111101110001,0.09054537,0.17720215,0.09054537,0.00000000,0.00000000,0.19735448,
000111101110010,0.07615836,0.14802930,0.07615836,0.00000000,0.00000000,0.15616202,
000111101110011,0.07131310,0.13821841,0.07131310,0.00000000,0.00000000,0.01724366,
